topic_id,count,palabras,perfil_macro
34,79,solicitar cómo solicitar solicito productos encuentro apartado dónde solicito productos disponibles cómo solicito quisiera disponibles,Solicitud de productos
35,76,menores hija hijo menor crear abrir perfil cumple costó abrí,Cuenta para menores
36,76,trasferencia cobros refleja sale apartado autorice credencial buzon aun refleja deja sale,Crédito auto
37,76,pal norte pal norte edición tecate tecate pal edición tecate beneficios beneficios pal solicito,Solicitud de productos
38,76,clave clave interbancaria interbancaria clabe anterior nueva clave clabe anterior cambiaron cambió antigua,CLABE / datos bancarios
39,76,tiene costo costo vencida tiene algún costo vencer tiene algún reposición vencimiento costo reposición,Reposición de plástico
40,75,aparece app aparece aplicación app aparece app aplicación app veo aparece desapareció aplicación aparece hace tiempo,Problemas de app
41,75,cashback cash back back cash anualidad promoción aplica funciona promociones telcel,Beneficios y recompensas
42,74,moto enganche 20 enganche 36 meses 36 2026 20 comprar financiamiento 30,Crédito moto
43,72,saldo saldo retenido retenido nivel diferido recargar saldo saldo total saldo tdc recargar saldo disponible,Consulta de saldo
44,71,teléfono atención atención teléfono teléfono cuál teléfono atención atención telefono telefono atención cuál teléfono teléfono cdmx,Atención humana
45,70,número atención atención puedes puedes número atención numero atencion atencion dame número repites das número dame,Atención humana
46,70,bloqueada está bloqueada bloqueo bloqueada está bloqueó bloquearon nip desbloquear desbloqueo bloqueé,Tarjeta bloqueada
47,69,bancos retirar cajeros retirar dinero realizar depósitos comisión sacar dinero depositar comisiones red,Depósitos en efectivo
48,69,agente hablar agente hablar chat contactar humano algún correo chatear dónde hablar ayude,Atención humana
49,68,cambio clabe clabe nueva clabe clabe interbancaria clabe nueva clabe cambio cambio antigua nueva antigua clabe,CLABE / datos bancarios
50,68,perdí perdi extraviada clonaron reportar perdió perdio reporto cómo reportar caso,Tarjeta perdida / robada
51,68,000 36 meses automotriz 36 60 meses enganche 60 000 36 cotización meses,Crédito auto
52,67,chip reconozco cargo recuerdo reconozco nip aun aparece activar usarla intentar pasó,Activación
53,67,nueva venció pedir nueva solicitar nueva pido nueva nueva cómo solicito nueva cómo pedir cómo solicitar pedir,Solicitud de productos
54,64,pagar contacto celular contacto contacto cómo teléfono pagar cómo pagar telcel pago saldo pago,Consulta de saldo
55,64,seguro seguro auto póliza poliza póliza seguro auto carro pagar seguro nan renovación,Crédito auto
56,64,enero estado febrero estado mes 2025 diciembre descargar estado descargar 2024 marzo,Estado de cuenta
57,64,llega transferencia transferencia ha llegado transferencia hicieron transferencia transferencia hicieron transferencia llega llegado transferencia ha ha llegado,Transferencias
58,63,número teléfono telefónico número hablar número telefónico número llamar número llamar teléfono número comunicar comunicarme,Atención humana
59,63,ahorro ahorro inmediato inmediato rendimiento recomiendas funciona apartado inversión porcentaje abona,Problemas de app
60,62,deuda deuda actual diferir deuda actual pague traspaso deuda diferir traspaso deuda total débito,MSI / pagos diferidos
61,62,aclaración estatus aclaración estatus levantar aclaración levantar aclaracion cómo va aclaración improcedente quisiera improcedente,Disputas y aclaraciones
62,62,nan centro atención centro atención telefono llego contacto reenvío buzón repetir,Entrega de tarjeta
63,61,movimientos movimiento últimos movimiento pendiente movimiento cómo aparece movimiento aclaración último cep aclarar,Disputas y aclaraciones
64,61,wallet agregar wallet wallet cómo agrego agregar cómo agregar cómo agrego asociar cartera agregué,Pagos digitales (wallet)
65,61,fecha límite pago fecha límite corte fecha corte debo pagar 15 fecha pago pago día,Fechas de pago / corte
66,61,pro pro cómo dimo soy convierto pro convierto shop puntos cómo activar activar,Hey Pro / suscripción
67,60,reposición solicitar reposición reposicion reponer cómo cambiar vencida cambiar nip cómo solicitar solicitar pedir reposición,Solicitud de productos
68,60,cancelar garantía cancelar opción cancelar quisiera cancelar cancelar garantizada cancelación garantía opcion cancelar aparece liberación,Tarjeta garantizada
69,60,personal línea blanco página personal dónde linea nesecito cuento estatus válido,Otros
70,59,última transferencia transferencia transferencia transferencia última cep transferencia recibir recepción transferencia transferencias transferencias recibir transferencia,Transferencias
71,59,bloqueada bloqueado saldo bloqueado está bloqueada bloquearon bloqueo salgo tiene saldo electrónica fui,Consulta de saldo
72,59,eliminar eliminar eliminar cómo eliminar borrar guardada quitar elimino guardadas cómo elimino cómo quitar,Eliminar / dar de baja
73,58,apartados aparecen apartado aparece apartado funciona veo apartado dónde están encuentro apartado sección token token,Autenticación / token
74,58,enganche meses enganche auto 000 60 meses 60 000 24 24 meses meses 24,Crédito auto
75,58,estados unidos unidos estados recibir dinero recibir recibo dinero cómo recibir enviar dinero dinero recibir transferencias,Transferencias
76,57,atención constancia retenciones atención cómo constancia centro atención contacto centro retenciones pongo contacto centro cómo contacto,Atención humana
77,57,veo aparece aparece aparece adeudo dice pendiente apartado tenía tenia pendiente dónde malo,Otros
78,56,ejecutivo hablar ejecutivo ejecutivo hablar hablar cómo hablar comunicarme financiamiento número hablar hablar algún id,Atención humana
79,56,número marcar marcar referencia número referencia número puedes número numero número número banxico dame número,Otros
80,56,rastrear localizar cómo nip nip dónde camino rastreo diseño encuentra va,Autenticación / token
81,56,sat impuestos app impuestos sat app aparece pagar app cómo primer pasaporte mandar dinero,Problemas de app
82,55,reembolso devolución rembolso devolución pendiente seguimiento revisar aplicado acerca estatus in,Disputas y aclaraciones
83,55,garantizada garantía tradicional crediticio historial crediticio aprobación historial cuánto tiempo buro semanas,Tarjeta garantizada
84,55,comprobante transferencia comprobante cep transferencia hice comprobante cep referencia número referencia transferencia descargar cep transferencia,Transferencias
85,54,préstamo préstamo personal solicitar préstamo pedir préstamo personal préstamo cómo personal solicitar candidato pedir prestamo,Solicitud de productos
86,54,asesor hablar hablar asesor asesor hablar asesor asesor tel asesor aclaración estatus aclaración fondo buen día,Disputas y aclaraciones
87,54,inversión fondo liquidar inversión inversion cómo retirar inversiones retirar liquidar cumplió cómo retiro,Problemas de app
88,53,internacional recibir dinero extranjero internacionales recibir cómo recibir europa liga recibir transferencia tranferencia,Transferencias
89,53,codi cómo pagar cómo pago pagar cobrar pago codigo usando dónde pagar código,CoDi / QR
90,53,aumentar aumentar línea aumento cómo aumentar línea aumentar límite linea incrementar garantizada aumentar limite,Aumento de línea
91,53,cargos dos cargos cargos reconozco cargos reconocidos cargos pendientes reconocidos pendientes reconozco hicieron cargos dos,Disputas y aclaraciones
92,52,mil pesos pesos mil 000 pesos enganche pesos enganche auto vehículo 48 48 meses,Crédito auto
93,52,anualidad tiene anualidad pago anualidad pagar anualidad beneficios paga paga anualidad tiene anual comisión,Beneficios y recompensas
94,52,recibir transferencia máximo recibir máximo recibir cuánto máximo límite transferencia transferencia límite monto máximo límite recibir transferencias,Transferencias
95,51,clic deja abrir beneficiarios botón entrar apartado esperaré apóyame usar dinero tiene alguna,Beneficiarios
96,51,cargo opción reconozco está pendiente autorice reconozco cargo cargo reconocido reconocido pendiente reconozco cargo pendiente,Crédito auto
97,51,wue dice pendiente venció solicitó estatus pagado vencio parece tramitar nueva funcione,Reposición de plástico
98,51,dual adicional débito principal ambas adicionales solicité debito solicite física dual,Reposición de plástico
99,51,reportar cobro reporte reportar cobro cobro reconocido cómo reportar extravio queja levantar reporte desconocido,Negocios / terminal
100,50,cambiar número número celular número teléfono celular número telefónico cambiar telefónico cambio número registrado teléfono,Atención humana
101,50,hice transferencia descontaron dinero transferencia descontaron hice dinero hice persona banxico destino equivoqué,Transferencias
102,50,número cuál número numero cuál número numero número número número número numero deposite número clabe cuál,CLABE / datos bancarios
103,50,límite depósito límite depósitos mensual mensuales límite límite mensual cuál límite depósitos limite depositos limite,Consulta de límites
104,49,clave interbancaria clave interbancaria veo clave encuentro clave interbancaria cómo nueva clave dónde veo clave clabe clabe veo,CLABE / datos bancarios
105,49,fallando aplicación deja aplicación problemas app app está falla está fallando fallas teniendo,Problemas de app
106,49,número número número cuál cuál número número numero número numero número soporte número número soporte cuál atención cuál,Atención humana
107,49,token dónde veo token token dónde está token token dónde token aparece checo veo aparece opcion,Autenticación / token
108,49,token móvil móvil celular sesión dispositivo token iniciar sesión iniciar cuál token hijo,Cuenta para menores
109,49,estado cómo estado estado cómo estado estado veo estado estados consigo encuentro miro obtener estado,Estado de cuenta
110,48,portabilidad portabilidad nómina nomina portabilidad nomina nómina cambiar nómina potabilidad soporte técnico técnico nómina aparece,Portabilidad de nómina
111,48,amazon cargos 20 devuelven levantar aclaración cancelación aclaración qie fueron correspondiente,Cancelaciones
112,48,contraseña usuario bloqueado puse desbloquear pide recuperar olvide queja cómo desbloquear,Tarjeta bloqueada
113,48,portabilidad portabilidad nómina portabilidad nomina nómina membresía potabilidad nomina cancelar ligas cobro ligas,Portabilidad de nómina
114,48,meses intereses intereses meses intereses cómo pagar meses comercios compra compras compra meses mandar,MSI / pagos diferidos
115,48,rastrear consultar nip nip dónde consultar dónde consultar nip veo estado cómo nip veo dónde,Autenticación / token
116,48,cancelar cómo cómo cancelar cómo cancelo cancelo cancelar cancelo cancelar cancelar cancelar cómo saldo bloqueado miro,Consulta de saldo
117,48,retirar efectivo efectivo efectivo cajero efectivo retirar retirar cajero retirar dinero dinero efectivo comisión cualquier cajero,Depósitos en efectivo
118,47,virtual virtual está débito virtual comprar comprar línea compras está bloqueada cada mes disponer dinero está vencida,Tarjeta bloqueada
119,47,préstamo préstamo personal solicitar préstamo personal cumplo requisitos préstamos cumplo personal dice personal aparece aún deja,Solicitud de productos
120,47,clabe cambio nómina cambios cambio clabe portabilidad cambió independiente separación portabilidad nómina,Portabilidad de nómina
121,47,bloqueada está bloqueada bloquearon firma electrónica electrónica firma desbloqueo bloqueo bloqueada está bloquear,Tarjeta bloqueada
122,46,swift código bic codigo okay iban veo código cómo estás branch id branch,CoDi / QR
123,46,límite depósitos depósitos cuál límite límite límite depósito depositos limite limite depositos límite deposito limite depósitos,Consulta de límites
124,46,contactar asesor asesor asesor asesor asesor cómo contacto asesor contactar cómo hablar hablar asesor hablo asesor hablar,Atención humana
125,46,reportar movimiento movimiento reconocido movimiento reportar reconocido reportar reconocidos movimientos reportar movimientos reconocido reportó,Disputas y aclaraciones
126,46,reportar extraviada cargos reporto cómo reportar hicieron cargos varios extravió haciendo cargos apareció,Tarjeta perdida / robada
127,46,recarga telcel celular recargas poner saldo recargar telefónica continuar poner saldo,Consulta de saldo
128,46,aún llega transferencias refleja transferencia reflejado transferencia recibir transferencias cheques tratando realizar transferencias transferencia hice transferencia,Transferencias
129,45,aire tiempo aire tiempo recargar telcel recarga recargas comprar recomiendas poner,Tiempo aire / recargas
130,45,terminal inteligente venta básica comisiones tpv punto básico terminales cobro,Negocios / terminal
131,45,bancos retirar efectivo efectivo dinero cajero retirar depositar retirar dinero sacar dinero banbajio cómo retirar,Depósitos en efectivo
132,45,movimiento reconozco movimiento reconozco movimiento reconocido movimiento aparece reclamo movimientos movimiento está movimiento hice pendiente,Disputas y aclaraciones
133,45,robo robaron reportar robo reportar reporte reporto cómo reporto fraude reposición cómo reportar,Tarjeta perdida / robada
134,45,cancelar cancelar cancelar cancelar quisiera débito cancelar quisiera cancelar gustaría cancelar requisitos cancelar cancelar aparece física solo cargo recurrente,Cancelaciones
135,43,asesor hablar hablar asesor asesor hablar quisiera hablar asesor asesor asesor cargo quisiera reportar movimientos devuelvan,Disputas y aclaraciones
136,43,depósitos depositar tiendas recibidos depósitos recibidos pueden depósitos pueden depositar depositar depositar dónde depósito,Entrega de tarjeta
137,43,apple pay pay apple pay activar vincular pay cómo asociar activar agrego cómo vincular,Activación
138,43,anualidad pagar anualidad beneficios pago anualidad anual son beneficios comisión anual recompensas toca anualidad da,Referidos / bonos
139,43,biométrica validación validar revisión huella ine subir huella digital comprobante domicilio validar datos,Validación / onboarding
140,43,correo electrónico electrónico correo cambiar asociado cómo cambiar cambio correo electronico registrado cambio,Datos personales / config
141,43,portabilidad portabilidad nómina eliminar definitivamente borrar activos nómina cancelar cerrar ban regio regio,Eliminar / dar de baja
142,43,renovar física renovarla física física física venció renuevo física está fisica física vence vence mes,Reposición de plástico
143,42,cajeros retirar comisión cajeros retirar comisiones comision cobren retirar cajero dónde retirar comisión retirar,Retiros / cajeros
144,42,garantizada garantia aprobada opción garantía garantizada aparece solicitarla garantía opción aparece opción gratis,Tarjeta perdida / robada
145,42,cumplo personal requisitos cumplo requisitos autorizan historial validada personal puedes personal personal personal aparece,Crédito auto
146,42,activar activo activé activar cómo cómo activar tap sigue apareciendo cómo activo cómo pedir apareciendo,Activación
147,41,cancelar cancelar cancelar atención cancelar deseo cancelar deseo telefono atención   ,Cancelaciones
148,41,impuestos impuestos sat sat pagar captura cómo pago empresa dónde pagar pago sé cómo,Pagos a gobierno / SAT
149,41,perfil menú perfil transaccional validar transaccional está opción sección dónde está principal encuentra,Otros
150,41,banca regresarme dicen banxico potabilidad comunico centro ceros pronto centro atención lunes,Portabilidad de nómina
151,40,clave rastreo rastreo clave cuál clave veo clave transferencia cuál última transferencia número referencia transferencia referencia,Transferencias
152,40,hice transferencia bbva bancomer transferencia día deposite transferencia van hija tap hicieron transferencia,Cuenta para menores
153,40,cambiar domicilio domicilio domicilio cómo cambiar cómo cambiar cambio domicilio dirección cambiar dirección cómo cambio cambié,Datos personales / config
154,40,dirección envío cambiar dirección domicilio envío física direccion entrega cambiar domicilio cambiar cambiar direccion,Entrega de tarjeta
155,40,cambiar nip nip cambiar nip cómo cómo cambio cambio cómo consultar cambio nómina cómo cambiar cómo generar,Autenticación / token
156,40,clave número clave encuentro clave cómo checar veo número consigo encuentro nueva número solo está número dónde número,Autenticación / token
157,40,wallet wallet cómo verifico verificar cómo verifico cómo verificar agregar wallet agregar verificación ponerla,Pagos digitales (wallet)
158,40,teléfono contacto teléfono contacto asistencia telefono telefónica cargo doble teléfono cómo teléfono soporte doble,Atención humana
159,40,extranjero internacional avisar país usar internacionales uso vacaciones europa habilitar,Transferencias
160,39,asesor hablar asesor hablar ejecutivo hablar ejecutivo asesor asesor atienda comunicar asesor veo reflejado cuánto debo,Atención humana
161,39,plástico plastico nuevo plástico nuevo vencido vencer venció reposición renovar está vencer,Reposición de plástico
162,39,cerrar acabo abrir cancelar cerrar cono deseo definitivamente segunda sesión actualmente siempre,Cancelaciones
163,39,rastreo física dónde física física cómo seguimiento nip física rastrear fisica pedí física espacio,Reposición de plástico
164,39,baja doy baja doy cómo ago darla baja dinero apartados borro darla ago tomen,Eliminar / dar de baja
165,39,límite cuál límite dé límite cuánto limite cuánto límite diario cuánto falta tope monto total,Consulta de límites
166,38,vence extravié venció pico abril reponer tiene costo aparece proceso muchas club,Reposición de plástico
167,38,cancelar cancelar cancelar        ,Cancelaciones
168,38,app deja app pin extravio actualizada app reposición deja actualizada parte app solicitar física,Solicitud de productos
169,38,apple wallet agregar apple pay pay agrego cómo agregar agregar wallet virtual wallet cómo,Pagos digitales (wallet)
170,38,teléfono telefónica teléfono atención telefono teléfono teléfono teléfonos telefono atencion cuál teléfono atencion recargas,Atención humana
171,38,minutos tarda 30 cuánto tarda reflejarse transferencia min hora reflejarse transferencia tiempo tarda,Tiempos de procesamiento
172,38,retiro retiro retiro cómo retiro hago retiro nunca he límite retiro retiros dígitos nunca disponible opción,Retiros / cajeros
173,38,estado estado estado aclaracion aún sigue programa referidos programa repites referidos última sigue,Referidos / bonos
174,38,atención número número atención numero atención atención numero atención número numero   ,Atención humana
175,37,diferir diferir saldo diferir pagos diferimiento saldo saldo total disponer saldo pagos diferidos diferir pago,Consulta de saldo
176,37,persona real hablar persona hablar humano humano real persona hablar alguien chat hablar alguien,Atención humana
177,37,cajeros retiros retiro cajeros retirar retirar cajeros retirar retiro cajeros cajero retiro cajero dónde retirar,Retiros / cajeros
178,37,plástico nuevo plástico nuevo costo plastico vencer vence piden está vencer vencimiento,Reposición de plástico
179,37,cancelar cancelar cancelar cancelada liquidar utilizando cancelarla cancelar está después liquidar está cancelada ayúdame cancelar,Cancelaciones
180,37,fecha fecha pago corte fecha corte vendedor corte fecha fecha límite fechas realicé pagarla,Fechas de pago / corte
181,36,cancelar pago cancelar quisieron aclaración pago cancelarlo meter aclaración pago uber pago cómo pendiente,Cancelaciones
182,36,cargos reconozco reconocido débito reconocido cargo reportar cargo reconocido débito reconozco cargo opción reconozco,Disputas y aclaraciones
183,36,editar abrir cómo desbloquear negocios abro desbloquear eh javi datos personales crear registrada,Crédito negocio
184,35,aclaraciones estatus aclaración seguimiento estatus aclaración tranferencia improcedente menu cargo doble aclaración improcedente,Disputas y aclaraciones
185,35,aún refleja ve ve reflejada transferi reflejado pago refleja hice transferencia ningun reflejada ve reflejado,Transferencias
186,35,mercado libre libre mercado rechazada fue rechazada compra compra fue rechazaron fondos insuficientes insuficientes,Compras rechazadas
187,35,google wallet agregar agrego vincular pay wallet cómo play inteligente verifico,Pagos digitales (wallet)
188,35,recibir mes mes mes cuánto pago mes cuánto recibir pagar mes mes cuanto cuanto recibir mensualmente recibir,Otros
189,35,acciones venta acción vender comprar cómo funciona riesgo mercado veré tarda verse,Inversión bursátil
190,35,tarda cuánto tarda tiempo tarda tiempo cuánto tiempo cuanto tiempo tarda caer cuánto cuanto tarda caer,Tiempos de procesamiento
191,35,número contacto contacto numero contacto contacto soporte contactarlos soporte número solicitar aclaración contactar número soporte,Solicitud de productos
192,35,interes acciones constancia taza intereses estado estado aparece significa clabe concepto,Inversión bursátil
193,35,contrato descargar carátula cómo descargar nesesito nombre descargo recuerdo contacto número javi oye,Contrato / carátula
194,34,apple pay pay apple pay cómo agregar pagar apple pay activar usar apple cómo agregar activo,Activación
195,34,reconocido cargo cargo reconocido reconocido cargo reconocido movimiento cargo desconocido do reconocidos desconocido aprobado,Disputas y aclaraciones
196,34,cargo reconozco reconozco cargo reconozco cargo desconozco reconozco cobro aclaraciónes cobro  ,Disputas y aclaraciones
197,34,cambio domicilio domicilio cambiar domicilio cambio domicilio cómo actualizar actualizo cambie domicilio solicitar cambio 04,Solicitud de productos
198,34,descargar estado descargar estado cómo descargar estados pdf carátula her soporte tecnico enviaron correo,Contrato / carátula
199,34,garantía cancelar cancelar garantía garantizada cancelar cancelar garantizada garantía cancelar garantizada garantia cómo cancelar garantizada cómo,Tarjeta garantizada
200,34,clabe imss clabe interbancaria anterior cambiará clabe clabe cambio cobro domiciliado va cambiar antigua cambio número,CLABE / datos bancarios
201,34,atención número número atención atención numero atención atención numero número reflejadas acciones ven numero,Inversión bursátil
202,34,estado descargo sacar estado estado estado cómo descargo dispongo pe obtener estado estado aparece último estado,Estado de cuenta
203,34,cancelar cancelar cancelar cancela contrato      ,Contrato / carátula
204,33,tipo cambio dólares tipo toma cambio comprar cuanto recibir pagos recibiré hago compra,Tipo de cambio / divisas
205,33,usuario nombre dada alta dada existe editar poner usuario cómo cambiar alta cambiar,Cambio de usuario
206,33,virtual eliminar cancelar cobro adicional cambio física haciendo cobros cancelar den tan cambiar,Eliminar / dar de baja
207,33,número atención atención número atención atención numero número atención cuál pasas número centro pásame número centro atención,Atención humana
208,33,solicitar física seleccionar permite deja seleccionar solicitar fisica solicitar nueva deja solicitar física solicitar elegir,Solicitud de productos
209,33,transferir dinero transferir trasferir banamex cómo transferir transfiero saldos validada refiero dinero,Consulta de saldo
210,33,mensualidad saldo disponible aparece monto depositado reflejado saldo disponer efectivo dieron disponible pedí respecto,Consulta de saldo
211,32,bloqueo emergencia emergencia bloqueo bloqueado saldo bloqueado aún sigue bloqueada está bloqueada bloquearon tdc,Consulta de saldo
212,32,cancela cancelo cómo cancelar cancelar totalmente cómo cancelo cancelar cómo deseo cancelar cancelar cancelar cancelar hago,Cancelaciones
213,32,cancelar garantía garantía cancelar garantizada cancelar cancelar garantizada cancelo garantizada garantizada cancelar cero eh javi garantía,Tarjeta garantizada
214,32,sesión iniciar sesión usuario iniciar hija menores hijo app veo app encuentro número,Cuenta para menores
215,32,digital dispositivo digital cómo eliminar cambiar apagada numeración número digital digitales asociada,Eliminar / dar de baja
216,32,beneficios norte pal norte pal edición beneficios pal registro beneficios tiene evento norte beneficios,Beneficios y recompensas
217,32,cancelar cancelar cancelar        ,Cancelaciones
218,32,entregada entregaron entrega recibió recibí recibido tradicional envío he recibido recibi,Entrega de tarjeta
219,32,números mismo número cambian robo numeración cambia nueva pedir nueva mismo tienda,Cambio de números de tarjeta
220,32,dirección cambiar dirección cambio dirección cómo cambiar cambiar direccion actualizar añadir domicilio cómo registrada,Problemas de app
221,32,oxxo depositar oxxo depósitos oxxo depositar pueden depositar depositarme depositar depositar depósito oxxo depósitos pueden,Depósitos en efectivo
222,31,hablar asesor asesor hablar asesor chat hablar humano dónde hablar deseo hablar mm asesor cargo,Atención humana
223,31,veo clabe interbancaria veo encuentro clabe clabe cómo interbancaria cómo encuentro cómo veo clabe spei cómo,Transferencias
224,31,pertenece monterrey oficiales compañía algun costo tiene algun heybanco dices oficial cuales son,Otros
225,30,token incorrecto incorrecto incorrecto token aparece token token error token incorrecto cómo error marca marca error,Autenticación / token
226,30,limite manejar cuál límite límite tendria digamos cómo límite 4000 bajo solo debito,Consulta de límites
227,30,nueva física solicitar nueva nueva física vencer solicito nueva va vencer física venció pedir nueva física está,Solicitud de productos
228,30,saldo aparece saldo aparece saldo saldos está disponible disponible saldo disponible aparece tdc disponer saldo aparece disponible,Consulta de saldo
229,30,eliminar transferencias cómo cómo eliminar borrar elimino cómo elimino transferencias transferencia cómo guardada transferir cómo,Eliminar / dar de baja
230,30,préstamo auto préstamo prestar presta carro 50000 auto pueden prestar años 2017,Crédito personal
231,30,tarda llegar cuanto tiempo llegar llega tiempo tarda acepte cuanto tiempo tarda cuanto tarda,Tiempos de procesamiento
232,30,meses intereses diferir intereses diferir compra compra 12 meses 12 compra meses meses diferir meses,MSI / pagos diferidos
233,30,auto auto auto funciona automóvil cuál interés elijo vehicular modelos moto informes,Crédito moto
234,30,transacción transacciones reconocida comercio reportó transaccion reconozco da opción detalle fíjate,Inversión bursátil
235,30,cashback beneficios cashback aplica anualidad cash back back cash pagar anualidad 600 recompensas,Referidos / bonos
236,29,cancelar cómo cómo cancelar cómo cancelo siguen cancelar recurrente cancelo cancelar pago dejar automáticamente,Crédito auto
237,29,rastrear cómo rastrear seguimiento pedí dónde viene rastreo viene reposición forma cómo,Reposición de plástico
238,29,reconocido asesor asesor aclaraciones aclaraciones reconocido cargo reconocido aclaración cargo asesor asesor aclaración cargo reconocidos,Disputas y aclaraciones
239,29,pm personal cuánto tiempo esperar tiempo personal cuánto cuanto tiempo tiempo tarda ahorro inmediato después,Tiempos de procesamiento
240,29,automotriz monto 000 plazo 000 000 mil enganche 48 meses 60 meses 48 plazo 36 meses 10,Crédito auto
241,29,veo nip nip veo nip dónde nip nip nip dónde veo veo nip cómo encuentro solo veo,Autenticación / token
242,29,cancelar cancelar cancelar cancelar quisiera cancelar cerrar quisiera cancelar deseo cancelar activada cerrar siempre deseo,Cancelaciones
243,29,token correcto token incorrecto dice token incorrecto correcto token sale token cvv dice aparece token,Autenticación / token
244,29,automotriz liquidar automotriz adelantar pagos liquidar adelantar cat pagos liquida atrasado aprobar,Crédito auto
245,29,retiro retiro retiro retiros llega código inbursa dígitos retiro cajero menú buen día ve,Retiros / cajeros
246,29,codi opción codi aparece aparece pagos aparece aparece opción opcion pagar encuentro opción activación,CoDi / QR
247,29,veo clabe veo nip nip veo clabe dónde clabe veo veo clabe cómo clabe cómo veo nip cómo,CLABE / datos bancarios
248,29,reconocido cargo cargo reconocido reconocido cargo reclamo autorizado línea   ,Crédito auto
249,29,tarda cuánto tarda tiempo lleva cuanto tiempo aclaración cvv tdc garantizada tiempo tarda modificar,Tiempos de procesamiento
250,29,cargos reconocidos reconocidos cargos dos cargos autorizado cargos pendientes extra dos domiciliado reporto,Crédito auto
251,28,validación validacion ahora aparece encuentra está cancelada asesor aparece debo está per proceso validación cuento,Atención humana
252,28,dinero recibir cuánto dinero pueden depositar cuanto dinero recibir minimo cuanto recibir mantener máximo cuánto monto,Depósitos en efectivo
253,28,pásame número número teléfono pásame telefónico teléfono atención número telefónico nadie atencion número número teléfono,Atención humana
254,28,cancelar cancelar cancelar        ,Cancelaciones
255,28,contactar comunico comunicarme contacto cómo cómo comunicarme llamar contacto disponible opción cómo llamar llegó cargo,Otros
256,28,fan shop fan shop cdmx monterrey recoger fanshop horario abierta dónde están,Tarjeta Pal Norte / Fan Shop
